,scenario,half_hat,K,rel_oracle_time,C_bar_size,num_min_loc,mult,varsigma_deg,upsilon,n,m
0,0,1.0,2.99203187250996,0.01836972482819252,9943,477,0.5,0.0002,0.0,500.0,10000.0
1,1,1.0,1.99601593625498,0.010137320601929125,9921,476,0.5,0.0002,0.0,500.0,10000.0
2,2,1.0,1.99601593625498,0.010149044105394934,9944,476,0.5,0.0002,0.0,500.0,10000.0
3,3,1.0,3.99203187250996,0.029325443529993764,9943,476,0.5,0.0002,0.0,500.0,10000.0
4,4,1.0,2.9880478087649402,0.018398574410513555,9926,477,0.5,0.0002,0.0,500.0,10000.0
5,5,1.0,2.99203187250996,0.01835653172341985,9916,476,0.5,0.0002,0.0,500.0,10000.0
6,6,1.0,2.9880478087649402,0.018328973346943746,9942,476,0.5,0.0002,0.0,500.0,10000.0
7,7,1.0,1.99601593625498,0.010148541636281727,9926,476,0.5,0.0002,0.0,500.0,10000.0
8,8,1.0,2.0,0.010143256068958648,9931,476,0.5,0.0002,0.0,500.0,10000.0
9,9,1.0,1.9920318725099602,0.010114068800426642,9944,476,0.5,0.0002,0.0,500.0,10000.0
10,0,1.0,1.9760956175298805,0.011504362044692795,9937,294,0.5,0.002,0.0,500.0,10000.0
11,1,1.0,2.0,0.011205077640761703,9935,299,0.5,0.002,0.0,500.0,10000.0
12,2,1.0,1.9800796812749004,0.01112557314709056,9943,300,0.5,0.002,0.0,500.0,10000.0
13,3,1.0,1.9760956175298805,0.01123675607494647,9940,301,0.5,0.002,0.0,500.0,10000.0
14,4,1.0,2.9800796812749004,0.019377573449067976,9950,309,0.5,0.002,0.0,500.0,10000.0
15,5,1.0,1.9880478087649402,0.011150882761041522,9920,302,0.5,0.002,0.0,500.0,10000.0
16,6,1.0,1.9760956175298805,0.011401232970274065,9942,301,0.5,0.002,0.0,500.0,10000.0
17,7,1.0,2.9840637450199203,0.01937542353468791,9928,302,0.5,0.002,0.0,500.0,10000.0
18,8,1.0,3.960159362549801,0.03210863279402446,9933,300,0.5,0.002,0.0,500.0,10000.0
19,9,1.0,1.9840637450199203,0.011263635670790088,9944,306,0.5,0.002,0.0,500.0,10000.0
20,0,1.0,1.9243027888446216,0.022227602082326086,9931,19,0.5,0.02,0.0,500.0,10000.0
21,1,1.0,1.8605577689243027,0.02092606437558286,9904,19,0.5,0.02,0.0,500.0,10000.0
22,2,1.0,3.589641434262948,0.03519248662528467,9940,21,0.5,0.02,0.0,500.0,10000.0
23,3,1.0,2.8326693227091635,0.02815184879764686,9941,21,0.5,0.02,0.0,500.0,10000.0
24,4,1.0,5.649402390438247,0.06350049762303092,9940,25,0.5,0.02,0.0,500.0,10000.0
25,5,1.0,1.8366533864541832,0.01986650443345798,9937,21,0.5,0.02,0.0,500.0,10000.0
26,6,1.0,1.956175298804781,0.019256092327663003,9931,23,0.5,0.02,0.0,500.0,10000.0
27,7,1.0,1.8884462151394423,0.023233437377795832,9921,13,0.5,0.02,0.0,500.0,10000.0
28,8,1.0,2.00398406374502,0.022585751892311306,9937,25,0.5,0.02,0.0,500.0,10000.0
29,9,1.0,2.864541832669323,0.027676872114520846,9946,20,0.5,0.02,0.0,500.0,10000.0
30,0,1.0,2.99601593625498,0.018250233455807008,7747,477,0.5,0.0002,2.0,500.0,10000.0
31,1,1.0,1.99601593625498,0.010136149663303033,7724,476,0.5,0.0002,2.0,500.0,10000.0
32,2,1.0,1.99601593625498,0.010123376589145082,7725,476,0.5,0.0002,2.0,500.0,10000.0
33,3,1.0,3.99601593625498,0.02919501635732948,7724,476,0.5,0.0002,2.0,500.0,10000.0
34,4,1.0,2.99203187250996,0.01827746675394455,7725,477,0.5,0.0002,2.0,500.0,10000.0
35,5,1.0,2.9880478087649402,0.018276741494778453,7702,476,0.5,0.0002,2.0,500.0,10000.0
36,6,1.0,2.99203187250996,0.01831528879441868,7757,476,0.5,0.0002,2.0,500.0,10000.0
37,7,1.0,1.99601593625498,0.010095374141430562,7733,476,0.5,0.0002,2.0,500.0,10000.0
38,8,1.0,1.9920318725099602,0.01009024697738635,7743,476,0.5,0.0002,2.0,500.0,10000.0
39,9,1.0,1.9920318725099602,0.010139662853270765,7705,476,0.5,0.0002,2.0,500.0,10000.0
40,0,1.0,1.9840637450199203,0.011624871499617653,7746,294,0.5,0.002,2.0,500.0,10000.0
41,1,1.0,2.0,0.011502443647662407,7713,299,0.5,0.002,2.0,500.0,10000.0
42,2,1.0,1.9840637450199203,0.011258516401375018,7723,300,0.5,0.002,2.0,500.0,10000.0
43,3,1.0,1.956175298804781,0.011428743217088984,7720,301,0.5,0.002,2.0,500.0,10000.0
44,4,1.0,2.9880478087649402,0.01925019733559789,7728,309,0.5,0.002,2.0,500.0,10000.0
45,5,1.0,1.9880478087649402,0.011148561959475244,7707,302,0.5,0.002,2.0,500.0,10000.0
46,6,1.0,1.9800796812749004,0.011370595368860587,7773,301,0.5,0.002,2.0,500.0,10000.0
47,7,1.0,2.9800796812749004,0.019121609281136882,7696,302,0.5,0.002,2.0,500.0,10000.0
48,8,1.0,3.956175298804781,0.031726192024730676,7742,300,0.5,0.002,2.0,500.0,10000.0
49,9,1.0,1.9920318725099602,0.0115393719884573,7711,306,0.5,0.002,2.0,500.0,10000.0
50,0,1.0,1.9243027888446216,0.022327616629077382,7747,19,0.5,0.02,2.0,500.0,10000.0
51,1,1.0,1.8565737051792828,0.020664430575774776,7728,19,0.5,0.02,2.0,500.0,10000.0
52,2,1.0,3.6175298804780875,0.034735208461830105,7731,21,0.5,0.02,2.0,500.0,10000.0
53,3,1.0,2.8764940239043826,0.028382218583604665,7705,21,0.5,0.02,2.0,500.0,10000.0
54,4,1.0,5.581673306772909,0.06155741462875079,7721,25,0.5,0.02,2.0,500.0,10000.0
55,5,1.0,1.840637450199203,0.02049994684198022,7729,21,0.5,0.02,2.0,500.0,10000.0
56,6,1.0,1.9601593625498008,0.018898951975079514,7758,23,0.5,0.02,2.0,500.0,10000.0
57,7,1.0,1.8804780876494025,0.0235759056510009,7726,13,0.5,0.02,2.0,500.0,10000.0
58,8,1.0,1.9721115537848606,0.022297925527036255,7744,25,0.5,0.02,2.0,500.0,10000.0
59,9,1.0,2.860557768924303,0.02773382515399557,7703,20,0.5,0.02,2.0,500.0,10000.0
60,0,1.0,2.9880478087649402,0.0181911427870379,5387,477,0.5,0.0002,5.0,500.0,10000.0
61,1,1.0,2.0,0.010091167497964997,5373,476,0.5,0.0002,5.0,500.0,10000.0
62,2,1.0,2.0,0.010108067121135163,5355,476,0.5,0.0002,5.0,500.0,10000.0
63,3,1.0,3.99601593625498,0.02898447405171327,5369,476,0.5,0.0002,5.0,500.0,10000.0
64,4,1.0,2.99203187250996,0.01812795325287623,5371,477,0.5,0.0002,5.0,500.0,10000.0
65,5,1.0,2.9880478087649402,0.018199965736637506,5336,476,0.5,0.0002,5.0,500.0,10000.0
66,6,1.0,2.99203187250996,0.01821985857705679,5359,476,0.5,0.0002,5.0,500.0,10000.0
67,7,1.0,1.9920318725099602,0.01008410864613696,5352,476,0.5,0.0002,5.0,500.0,10000.0
68,8,1.0,2.0,0.01014283266291102,5364,476,0.5,0.0002,5.0,500.0,10000.0
69,9,1.0,1.9920318725099602,0.010085502793563196,5360,476,0.5,0.0002,5.0,500.0,10000.0
70,0,1.0,1.9840637450199203,0.011339012976052321,5388,294,0.5,0.002,5.0,500.0,10000.0
71,1,1.0,1.99601593625498,0.011144846294175061,5360,299,0.5,0.002,5.0,500.0,10000.0
72,2,1.0,1.9840637450199203,0.011342341646698841,5352,300,0.5,0.002,5.0,500.0,10000.0
73,3,1.0,1.9641434262948207,0.011591875898856184,5363,301,0.5,0.002,5.0,500.0,10000.0
