,method,rel_dev_obj,rel_dev_cstr,time,F_hat,rep,F_check
0,bigM (direct),0.1,0.1,519.7856409549713,-64.81977262257533,1,-70.47878890998132
1,ULO,0.1,0.1,25.1556499004364,-65.19393331549723,0,-65.19393331549723
2,ULO,0.1,0.1,8.085697650909424,-65.19393331549723,1,-65.19393331549723
3,ULO,0.1,0.1,7.821372985839844,-65.19393331549723,2,-65.19393331549723
4,ULO,0.1,0.1,7.5991809368133545,-65.19393331549723,3,-65.19393331549723
5,ULO,0.1,0.1,7.7248711585998535,-65.19393331549723,4,-65.19393331549723
6,ULO,0.1,0.1,7.704143047332764,-65.19393331549723,5,-65.19393331549723
7,ULO,0.1,0.1,7.658177852630615,-65.19393331549723,6,-65.19393331549723
8,ULO,0.1,0.1,7.684412956237793,-65.19393331549723,7,-65.19393331549723
9,ULO,0.1,0.1,7.894974946975708,-65.19393331549723,8,-65.19393440069325
10,ULO,0.1,0.1,7.950122117996216,-65.19393331549723,9,-65.19393331549723
11,ES,0.1,0.1,2636.2521028518677,-65.19393331549723,1,-65.19393331549723
12,bigM (direct),0.1,0.5,520.355801820755,-74.64508337752744,1,-81.40030919628197
13,ULO,0.1,0.5,21.94888973236084,-74.64507980130497,0,-74.64507980130496
14,ULO,0.1,0.5,8.435997009277344,-74.64507980130497,1,-74.64507980130496
15,ULO,0.1,0.5,9.88710618019104,-74.64507980130497,2,-74.6450845359515
16,ULO,0.1,0.5,8.35464596748352,-74.64507980130497,3,-74.64507980130496
17,ULO,0.1,0.5,8.332129001617432,-74.64507980130497,4,-74.64507980130496
18,ULO,0.1,0.5,9.06931471824646,-74.64507980130497,5,-74.64507980130496
19,ULO,0.1,0.5,8.40549921989441,-74.64507980130497,6,-74.64507980130496
20,ULO,0.1,0.5,8.40674090385437,-74.64507980130497,7,-74.64507980130496
21,ULO,0.1,0.5,8.351858854293823,-74.64507980130497,8,-74.64507980130496
22,ULO,0.1,0.5,8.274884223937988,-74.64507980130497,9,-74.64507980130496
23,ES,0.1,0.5,2738.6419320106506,-74.64507980130497,1,-74.64507980130497
24,bigM (direct),0.1,2.0,520.0623910427094,-62.68228746569492,1,-69.14921526291185
25,ULO,0.1,2.0,47.43991184234619,-62.682278511860794,0,-62.68227851186078
26,ULO,0.1,2.0,30.880578756332397,-62.682278511860794,1,-62.686243274704445
27,ULO,0.1,2.0,28.919444799423218,-62.682278511860794,2,-62.68227851186078
28,ULO,0.1,2.0,29.476665019989014,-62.682278511860794,3,-62.68227851186078
29,ULO,0.1,2.0,30.56088614463806,-62.682278511860794,4,-62.68227851186078
30,ULO,0.1,2.0,29.951871871948242,-62.682278511860794,5,-62.68227851186078
31,ULO,0.1,2.0,30.928794145584106,-62.682278511860794,6,-62.68227851186078
32,ULO,0.1,2.0,30.510520935058594,-62.682278511860794,7,-62.68227851186078
33,ULO,0.1,2.0,29.796619176864624,-62.682278511860794,8,-62.68227851186078
34,ULO,0.1,2.0,30.64406180381775,-62.682278511860794,9,-62.68227851186078
35,ES,0.1,2.0,2723.765239715576,-62.682278511860794,1,-62.682278511860794
36,bigM (direct),0.5,0.1,521.5730330944061,-93.14524707814516,1,-127.01011203988128
