,method,rel_dev_obj,rel_dev_cstr,time,F_hat,rep,F_check
0,bigM (direct),0.1,0.1,193.80879878997803,-9.188126949440086,1,-9.188126949440086
1,ULO,0.1,0.1,7.928512096405029,-9.1881165552842,0,-9.188116555284202
2,ULO,0.1,0.1,3.3167028427124023,-9.1881165552842,1,-9.188116555284202
3,ULO,0.1,0.1,3.2717769145965576,-9.1881165552842,2,-9.188116555284202
4,ULO,0.1,0.1,3.278294801712036,-9.1881165552842,3,-9.188116555284202
5,ULO,0.1,0.1,3.2843399047851562,-9.1881165552842,4,-9.188116555284202
6,ULO,0.1,0.1,3.2564001083374023,-9.1881165552842,5,-9.188116555284202
7,ULO,0.1,0.1,3.237401247024536,-9.1881165552842,6,-9.188116555284202
8,ULO,0.1,0.1,3.283737897872925,-9.1881165552842,7,-9.188116555284202
9,ULO,0.1,0.1,3.7625982761383057,-9.1881165552842,8,-9.188116555284202
10,ULO,0.1,0.1,3.2637782096862793,-9.1881165552842,9,-9.188116555284202
11,ES,0.1,0.1,250.4699468612671,-9.1881165552842,1,-9.1881165552842
12,bigM (direct),0.1,0.5,492.8568398952484,-3.751911522419234,1,-3.751911522419234
13,ULO,0.1,0.5,8.254284143447876,-3.7519136634917953,0,-3.751913663491796
14,ULO,0.1,0.5,4.616337060928345,-3.7519136634917953,1,-3.751913663491796
15,ULO,0.1,0.5,3.9510560035705566,-3.7519136634917953,2,-3.751913663491796
16,ULO,0.1,0.5,3.899433135986328,-3.7519136634917953,3,-3.751913663491796
17,ULO,0.1,0.5,3.912250280380249,-3.7519136634917953,4,-3.751913663491796
18,ULO,0.1,0.5,3.9447309970855713,-3.7519136634917953,5,-3.751913663491796
19,ULO,0.1,0.5,4.6894519329071045,-3.7519136634917953,6,-3.751913663491796
20,ULO,0.1,0.5,3.91679310798645,-3.7519136634917953,7,-3.751913663491796
21,ULO,0.1,0.5,3.9110419750213623,-3.7519136634917953,8,-3.751913663491796
22,ULO,0.1,0.5,3.9399232864379883,-3.7519136634917953,9,-3.751913663491796
23,ES,0.1,0.5,238.85056257247922,-3.7519136634917953,1,-3.7519136634917953
24,bigM (direct),0.1,2.0,505.78548669815063,-4.41414934083879,1,-4.775090506397729
25,ULO,0.1,2.0,13.597731113433838,-4.414145944814905,0,-4.414145944814906
26,ULO,0.1,2.0,8.506661891937256,-4.414145944814905,1,-4.414145944814906
27,ULO,0.1,2.0,8.673957824707031,-4.414145944814905,2,-4.414145944814906
28,ULO,0.1,2.0,6.988457918167114,-4.414145944814905,3,-4.414145944814906
29,ULO,0.1,2.0,7.749585866928101,-4.414145944814905,4,-4.414145944814906
30,ULO,0.1,2.0,7.24672269821167,-4.414145944814905,5,-4.414145944814906
31,ULO,0.1,2.0,5.818883180618286,-4.414145944814905,6,-4.414145944814906
32,ULO,0.1,2.0,5.33758807182312,-4.414145944814905,7,-4.414145944814906
33,ULO,0.1,2.0,5.0788679122924805,-4.414145944814905,8,-4.414145944814906
34,ULO,0.1,2.0,4.940353870391846,-4.414145944814905,9,-4.414145944814906
35,ES,0.1,2.0,246.4114785194397,-4.414145944814905,1,-4.414145944814905
36,bigM (direct),0.5,0.1,507.30224680900574,-9.63120420214587,1,-9.72168063590523
37,ULO,0.5,0.1,8.584167242050171,-9.63120401332606,0,-9.63120401332606
38,ULO,0.5,0.1,7.045143127441406,-9.63120401332606,1,-9.63120401332606
39,ULO,0.5,0.1,8.410612106323242,-9.63120401332606,2,-9.63120401332606
40,ULO,0.5,0.1,3.776031017303467,-9.63120401332606,3,-9.64083517731158
41,ULO,0.5,0.1,4.169700860977173,-9.63120401332606,4,-9.64083517311545
42,ULO,0.5,0.1,2.8516788482666016,-9.63120401332606,5,-9.63120401332606
43,ULO,0.5,0.1,8.245339155197144,-9.63120401332606,6,-9.63120401332606
44,ULO,0.5,0.1,4.284289836883545,-9.63120401332606,7,-9.640834936750355
45,ULO,0.5,0.1,4.00305700302124,-9.63120401332606,8,-9.640835169073428
46,ULO,0.5,0.1,2.805417776107788,-9.63120401332606,9,-9.63120401332606
